country,date,value
Afghanistan,2020-01-22,0.00
Afghanistan,2020-01-23,0.00
Afghanistan,2020-01-24,0.00
Afghanistan,2020-01-25,0.00
Afghanistan,2020-01-26,0.00
Afghanistan,2020-01-27,0.00
Afghanistan,2020-01-28,0.00
Afghanistan,2020-01-29,0.00
Afghanistan,2020-01-30,0.00
Afghanistan,2020-01-31,0.00
Afghanistan,2020-02-01,0.00
Afghanistan,2020-02-02,0.00
Afghanistan,2020-02-03,0.00
Afghanistan,2020-02-04,0.00
Afghanistan,2020-02-05,0.00
Afghanistan,2020-02-06,0.00
Afghanistan,2020-02-07,0.00
Afghanistan,2020-02-08,0.00
Afghanistan,2020-02-09,0.00
Afghanistan,2020-02-10,0.00
Afghanistan,2020-02-11,0.00
Afghanistan,2020-02-12,0.00
Afghanistan,2020-02-13,0.00
Afghanistan,2020-02-14,0.00
Afghanistan,2020-02-15,0.00
Afghanistan,2020-02-16,0.00
Afghanistan,2020-02-17,0.00
Afghanistan,2020-02-18,0.00
Afghanistan,2020-02-19,0.00
Afghanistan,2020-02-20,0.00
Afghanistan,2020-02-21,0.00
Afghanistan,2020-02-22,0.00
Afghanistan,2020-02-23,0.00
Afghanistan,2020-02-24,1.00
Afghanistan,2020-02-25,0.00
Afghanistan,2020-02-26,0.00
Afghanistan,2020-02-27,0.00
Afghanistan,2020-02-28,0.00
Afghanistan,2020-02-29,0.00
Afghanistan,2020-03-01,0.00
Afghanistan,2020-03-02,0.00
Afghanistan,2020-03-03,0.00
Afghanistan,2020-03-04,0.00
Afghanistan,2020-03-05,0.00
Afghanistan,2020-03-06,0.00
Afghanistan,2020-03-07,0.00
Afghanistan,2020-03-08,3.00
Afghanistan,2020-03-09,0.00
Afghanistan,2020-03-10,1.00
Afghanistan,2020-03-11,2.00
Afghanistan,2020-03-12,0.00
Afghanistan,2020-03-13,0.00
Afghanistan,2020-03-14,4.00
Afghanistan,2020-03-15,5.00
Afghanistan,2020-03-16,5.00
Afghanistan,2020-03-17,1.00
Afghanistan,2020-03-18,0.00
Afghanistan,2020-03-19,0.00
Afghanistan,2020-03-20,2.00
Afghanistan,2020-03-21,0.00
Afghanistan,2020-03-22,16.00
Afghanistan,2020-03-23,0.00
Afghanistan,2020-03-24,34.00
Afghanistan,2020-03-25,10.00
Afghanistan,2020-03-26,10.00
Afghanistan,2020-03-27,16.00
Afghanistan,2020-03-28,0.00
Afghanistan,2020-03-29,10.00
Afghanistan,2020-03-30,50.00
Afghanistan,2020-03-31,4.00
Afghanistan,2020-04-01,63.00
Afghanistan,2020-04-02,36.00
Afghanistan,2020-04-03,8.00
Afghanistan,2020-04-04,18.00
Afghanistan,2020-04-05,50.00
